"UNC Product Type / Item Receiving Statistics",,,3/22/10,,,,,,,,,
"Food Bank of Central & Eastern North Carolina",,,,,,,,,,,,
"UNC Product Type Total",810687,,,,,,,,,,,
,,,,,,,,,,,,
"Report Total",28407905,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Order No. ","Document No. ","Item No.","Description","Source No.","Donor","UNC Product Source Code","Posting Date","Lot No.","Expiration Date","Quantity","Unit of Measure","Gross Weight"
"DD09-00910","DD09-00910-1","RM09001","RETAIL MEAT FROZEN - WEIGH",1074,"Bonus Freight Donations","LOCAL",7/2/09,72706,12/31/99,120,"LB",120
"DD09-00919","DD09-00919-1","RM09001","RETAIL MEAT FROZEN - WEIGH",1295,"Food Lion 142","A2H LOCAL",7/2/09,72765,12/31/99,123,"LB",123
"DR09-02615","DR09-02615-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2862,"Food Lion # 1491","A2H LOCAL",7/2/09,73060,12/31/99,125,"LB",125
"DR09-02609","DR09-02609-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2985,"Kroger #356","A2H LOCAL",7/2/09,73054,12/31/99,150,"LB",150
"DR09-02613","DR09-02613-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2395,"Food Lion Store #1079","A2H LOCAL",7/2/09,73058,12/31/99,170,"LB",170
"DW09-00358","DW09-00358-1","SA09001","SALVAGE - WEIGH",2280,"Target Stores","A2H LOCAL",7/2/09,72770,12/31/99,172,"LB",172
"DD09-00920","DD09-00920-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2867,"Food Lion # 1544","A2H LOCAL",7/2/09,72766,12/31/99,205,"LB",205
"DR09-02611","DR09-02611-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2774,"Food Lion # 247","A2H LOCAL",7/2/09,73056,12/31/99,210,"LB",210
"DS09-00965","DS09-00965-1","PR09002","VEGETABLES - WEIGH",2306,"The Fresh Market","LOCAL",7/2/09,72700,12/31/99,225,"LB",225
"DR09-02612","DR09-02612-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2797,"Food Lion # 536","A2H LOCAL",7/2/09,73057,12/31/99,240,"LB",240
"DG09-00591","DG09-00591-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2811,"Food Lion # 779","A2H LOCAL",7/2/09,72707,12/31/99,280,"LB",280
"DD09-00923","DD09-00923-1","RM09001","RETAIL MEAT FROZEN - WEIGH",1382,"Food Lion 727","A2H LOCAL",7/2/09,72769,12/31/99,287,"LB",287
"DD09-00922","DD09-00922-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2415,"Food Lion Store #2646","A2H LOCAL",7/2/09,72768,12/31/99,287,"LB",287
"DD09-00925","DD09-00925-1","RM09001","RETAIL MEAT FROZEN - WEIGH",1308,"Food Lion 1514","A2H LOCAL",7/2/09,72772,12/31/99,302,"LB",302
"DD09-00924","DD09-00924-1","RM09001","RETAIL MEAT FROZEN - WEIGH",1303,"Food Lion 1486","A2H LOCAL",7/2/09,72771,12/31/99,328,"LB",328
"DG09-00587","DG09-00587-1","RM09001","RETAIL MEAT FROZEN - WEIGH",1790,"Sam's Club#9","A2H LOCAL",7/2/09,72610,12/31/99,432,"LB",432
"DD09-00921","DD09-00921-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2906,"Food Lion # 2589","A2H LOCAL",7/2/09,72767,12/31/99,451,"LB",451
"DR09-02607","DR09-02607-1","RM09001","RETAIL MEAT FROZEN - WEIGH",2982,"Kroger #342","A2H LOCAL",7/2/09,73052,12/31/99,475,"LB",475
"DG09-00587","DG09-00587-1","BR09001","BREAD/BAKED GOODS DRY - WEIGH",1790,"Sam's Club#9","A2H LOCAL",7/2/09,72612,12/31/99,1844,"LB",1844
"DR09-02597","DR09-02597-1","PR09004","MELONS - WEIGH",2014,"Wal-Mart Distribution Center","A2H LOCAL",7/2/09,73042,12/31/99,2180,"LB",2180
"DR09-02573","DR09-02573-1","SK09003","NABISCO ASST. SNACKS - WEIGH",1652,"KRAFT BISCUIT - NABISCO","A2H NATL",7/2/09,72909,12/31/99,2395,"LB",2395
"DR09-02532","DR09-02532-1","NF09037","ZIPLOC ZIP & STEAM COOKING BAG",2121,"S. C. Johnson & Sons, Inc.","A2H NATL",7/2/09,72697,12/31/99,2655,"CS",5310
"DG09-00584","DG09-00584-1","PR09005","SWEET POTATOES - WEIGH",3055,"Tull Hill Farms","LOCAL",7/2/09,72607,12/31/99,8430,"LB",8430
"DG09-00581","DG09-00581-1","PR08009","WHITE POTATOES - WEIGH",3054,"Tidewater Farms & Produce","LOCAL",7/2/09,72606,12/31/99,28992,"LB",28992
"DR09-02533","DR09-02533-1","PR09004","MELONS - WEIGH",2014,"Wal-Mart Distribution Center","A2H LOCAL",7/2/09,72698,12/31/99,33674,"LB",33674
"DR09-02590","DR09-02590-1","PF09001","PREPARED SALADS - WEIGH",1764,"Reser's Fine Foods","LOCAL",7/2/09,73031,12/31/99,35955,"LB",35955
"DR09-02591","DR09-02591-1","PR09006","WHITE POTATOES - WEIGH",3057,"All Season Farms","LOCAL",7/2/09,73034,12/31/99,39731,"LB",39731
